mandt,id,prodUUID,description,toCountry_code,status
001,210367f8-7854-4595-b184-c9b681638655,2cbf23c3-a0be-4a2d-95d5-63a7e833a6cc,Sed accumsan felis.,CA,TLLP
001,b19b8dcb-8c6f-4ad7-8867-945b784f75d8,7e0264b2-b739-4186-aa85-206d87c3bec2,Nulla suscipit ligula in lacus.,AL,SINA
001,6f355aa5-7196-499b-a705-775442f994e8,ac25df3e-9e6a-4e5d-affd-92a1bdf20417,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",ID,DB
001,4490e4ce-3ad7-496d-a98a-0d6650ed3832,d872fa57-cf3d-4647-ad86-fba531c2d8a8,Suspendisse ornare consequat lectus.,TZ,BKU
001,bfadd310-47bf-4a77-b6a6-8a5411b2f966,0dcdb458-fa81-470c-96d5-91a34802cf8b,Mauris ullamcorper purus sit amet nulla.,MG,UHT
001,8a45039b-908a-447c-a3e2-0825bbcc87fa,3459db71-cd6f-42a5-833c-4f37ccb971f1,Pellentesque ultrices mattis odio.,FR,MS^E
001,9691b6ef-749f-4233-b92e-26f50d3c05fa,2ee275f9-1616-43c0-8449-05cd260f7838,Nulla tempus.,PE,LMBS
001,99c6e97d-a2d7-4f8e-9df0-e529da2e9457,026cd974-1ebe-42d1-8f02-ffe1e6f82cd3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",SE,KDMN
001,aee73def-89ce-44f3-b393-734de2777ac8,85eed4c8-b3ba-4d1f-8a18-ba22762c40da,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",FI,WIN
001,3327c700-8817-4521-8e45-c987cf978849,c0a21ea7-58fb-4007-a91a-4d4d66248ed2,In hac habitasse platea dictumst.,CN,VUZI
001,f232380e-bde6-4841-911d-16d91a66de53,9ce8ea31-1061-4ba3-ad9b-d7fa98c42e98,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",UY,UEIC
001,a1230564-b1a4-4a5c-b4a2-1791a939c7c3,77cd4b84-75c8-43f8-b40f-cba6230eaaf6,Phasellus in felis.,ID,ROLL
001,a444860e-0e96-4a48-b88f-6a0e178a0f30,369d5b33-1c56-475b-b7ee-ab281a460bb3,Cras pellentesque volutpat dui.,RU,ATO
001,697f28d8-4e55-4793-ad1b-7434e2c9a457,79b7c24b-753d-4cb9-b477-7a2e6730f0e4,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",KR,LSBK
001,bd6adf86-8fd3-48ad-ae0d-b19b1f026579,c242adee-0722-45a6-8d45-a3299c49a722,Aenean auctor gravida sem.,ZW,AMWD
001,1bead464-b112-42e7-8358-3c6a715d1dd9,700e7eb5-7c42-469c-8640-c1af17b31d1c,Etiam justo.,CN,KBR
001,dc768063-6feb-4796-b1c3-542ab4477b1c,85017a49-5d67-48ea-852d-1bc9031fee1e,Donec posuere metus vitae ipsum.,PL,NK
001,a7e24eeb-397f-4ab2-b9d1-00e8c4d9b402,679e2f9e-a799-4100-bb70-8c9ba8c70c85,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",CZ,FLAG
001,4fd36e94-319b-4a2b-812d-9f6283b45634,ab2e73ad-15a6-4ca8-b558-1badc8a20d07,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",CN,NSTG
001,9ca02ff5-be69-477b-ade8-6d677bbc379d,8d001341-eb77-46f9-bdb9-98a7e8bdbdf0,Morbi ut odio.,UA,TGTX
001,0f9f1c96-18a8-4fdd-82ad-57040032d181,5ab863ff-9e90-4a2d-8a79-dcdac05d953b,Nullam varius.,PH,GILT
001,05f7dfa6-fce8-4e7b-bfde-011f740abeba,eb04e642-45e5-4bd5-9ebb-d051accd9d81,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",PS,MGPI
001,0251c2f3-f421-49d6-8d34-72ce65e87e05,c5c47335-9609-4474-8cb5-198db4fe311c,In hac habitasse platea dictumst.,CN,IIN
001,16ebadcf-cf74-4263-b82a-a079826eade6,00074152-078f-482c-a34c-9222a83ed5ac,Duis mattis egestas metus.,CV,DTRM
001,e3ab5d1b-3e8f-42e1-a177-baff7e20ad43,92f1bed1-2e8b-4ba3-807c-660aca6a4a80,Nulla tellus.,AL,CALA
001,e8ef4be8-b978-44f9-aeb8-7a844556b2b2,8484f92e-17d1-4403-83e8-9e0a7bba0e04,Vivamus vel nulla eget eros elementum pellentesque.,BG,HNNA
001,e13d0f82-ad44-4519-bf9c-af0d2b658d02,cecf16ac-e171-44f3-8794-12865cc01c67,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",CZ,BAC^Y
001,c6ca14ba-9693-489c-8831-dd33d11c6a03,e271943b-d202-405d-9278-f517368a091c,Ut tellus.,PT,NVTR
001,20ecbeac-59a0-443f-ad89-c3abd907524d,1452c675-58a2-404d-a8ff-2a002d11d0dc,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",NL,AVH
001,363afa66-2772-4b96-92f1-c006f1e04098,b2a64364-453d-409e-81b9-a9726802e743,Pellentesque eget nunc.,PH,STI.WS.A
001,bfdaae67-8d7f-42a3-8ac8-08d0d59c33ab,cead968d-887c-46cc-a7f0-7fcc15f53730,Proin at turpis a pede posuere nonummy.,CN,MTGEP
001,2e7fcfa9-dca7-421b-802e-4c2841f75fef,abc39f71-194c-4d26-8e8d-f44856068d99,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",PK,PJH
001,2494def1-9db0-4508-89d3-8b80fca1945f,0eff1bc5-7b5c-422f-946d-322c1cad40aa,Etiam pretium iaculis justo.,RU,SIEN
001,bb4e150c-4de2-4904-b0c0-e496f470031e,ff438a0d-0959-4cb8-a85b-bef556a86399,Nulla facilisi.,CU,CNO
001,16c9e369-8f6b-414f-b86d-d5c9e694f42b,cfa1de5e-a830-4fc7-8d20-cf3f93f569aa,Integer a nibh.,XK,TAX
001,2aded4d8-fcf6-49aa-bc29-e64e4be33ea0,cbbd0e7d-f321-4322-9882-d433be62d323,Nulla justo.,ZW,FAAR
001,7749b6ee-0f18-4015-bb2e-393cd2961518,a670f0b1-6191-4a9f-a5f4-9ec166bc11c2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",AR,CENTA
001,2ec2392d-dcfa-40ee-a2cb-fa61b17f9d2c,d80db47e-5409-44fa-aa7b-7b3984bace20,Nullam molestie nibh in lectus.,CN,GLT
001,f6f31c8a-8475-44f7-b53b-047b2d3755f6,b8538ff3-5f55-4ace-9164-4cbff0506dfb,Quisque ut erat.,PL,TCFC
001,03c69036-31e1-45c6-9265-640fe696bc2c,5a665684-8bd9-432a-87a3-a69fa58bd80b,In quis justo.,ID,TNXP
001,c79e9f1a-54cc-4c5a-800c-b5c0d2ae4d92,106a9d6c-fe8e-43c7-9bcd-fd114879180f,Pellentesque ultrices mattis odio.,CA,OLD
001,d8af2b95-2cc1-4c4d-9892-9cdf6d034a86,513c5d63-0a87-426b-8474-4b49184b647b,Praesent id massa id nisl venenatis lacinia.,ID,TTNP
001,e4adf319-de7c-440e-a99a-78f93ee62fb6,e2d53cd3-0275-4fc6-ae4a-eded3c632336,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",MY,MTB.WS
001,53793a09-6604-4aad-bd4f-e9a350ac16b3,d1ba5f63-d1ef-44cb-8cef-92b3b1e72f81,Morbi vel lectus in quam fringilla rhoncus.,PE,ARCW
001,f4a3511f-f4fa-4ac3-a208-51cf9ae99ac3,2f020a3e-2522-4787-9f12-a2a1dddd4de6,In hac habitasse platea dictumst.,NA,THFF
001,9856617d-cb31-4cd6-897c-218cef11af71,5e2c36b0-3bcd-4cba-bdf7-4c556928cf42,Praesent blandit lacinia erat.,CN,CENTA
001,23ef033c-0988-4bb4-ae21-ed9aa058a861,6435e07f-f22e-4825-8508-2ec07d78968e,Praesent lectus.,CN,GMED
001,9745f00c-98b6-4e4d-be3e-5957fe8e89c3,60113464-7843-4a40-8a05-83b746dc90b8,Curabitur convallis.,CO,FENX
001,63568cc1-cad6-49aa-801d-0bfcdd1b7dd7,ba64c0d7-1551-4953-930e-ebca836b9a61,Etiam pretium iaculis justo.,CA,LFC
001,bb61f458-10e9-42d9-a195-405a9e6b059f,f028234d-2b7b-4ca2-8bf9-dc7ad5777dda,Integer a nibh.,CN,ELEC
001,b735dc27-3f91-4ccf-928c-8e1524fb5d34,1056467f-7c1f-4022-ad33-1e453800a74f,Praesent blandit.,CZ,DSX^B
001,22cb8cd0-7cbd-46b6-8d54-645d7a3edd8f,9d9619f4-9f87-49fc-9d46-c2df4335553e,Ut tellus.,US,STZ.B
001,13ff31db-c0d3-49bb-a107-8f85a9a1dc25,6f997def-72dc-4d43-ae81-b4e12ee8b2b0,Fusce consequat.,ID,SGBK
001,4789d1da-61ea-4540-a314-bac3a03a4ada,b3f23fed-1de5-42e8-8f6a-e02a24fbba99,Morbi vel lectus in quam fringilla rhoncus.,CZ,BAC^W
001,7f45c15b-8a99-4086-b80f-ba053ed3233f,e31188b1-bb51-42cd-91a2-ce772d031e32,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",LT,RCMT
001,b4157775-998f-4ae3-9bc0-05a222eb6532,9ac956f8-7a88-412d-98b9-107712681017,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",BR,MCRN
001,0d118db4-ae9b-477c-9b03-f64b3a985d25,984a8889-fcaf-4ee5-be00-e4b37c2059ac,Nam dui.,CN,BMO
