mandt,id,prodId,pgId,sizeUOM,height,depth,width,price,taxrate,toPriceCurrency_code,description
001,2cbf23c3-a0be-4a2d-95d5-63a7e833a6cc,mattis,7,APL,70,48,24,413.89,7.35,CNY,Donec semper sapien a libero.
001,7e0264b2-b739-4186-aa85-206d87c3bec2,mollis,5,%NT,52,6,36,322.68,37.72,PHP,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
001,ac25df3e-9e6a-4e5d-affd-92a1bdf20417,nulla,3,DY,96,79,10,588.78,16.24,IDR,Nulla tempus.
001,d872fa57-cf3d-4647-ad86-fba531c2d8a8,proin,2,APL,21,13,4,952.8,13.3,EUR,Suspendisse accumsan tortor quis turpis.
001,0dcdb458-fa81-470c-96d5-91a34802cf8b,habitasse,5,ADV,97,84,61,324.16,17.02,RUB,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
001,3459db71-cd6f-42a5-833c-4f37ccb971f1,in,5,ADV,68,4,96,713.72,2.03,BRL,Duis ac nibh.
001,2ee275f9-1616-43c0-8449-05cd260f7838,vestibulum,6,ADV,43,97,94,333.66,23.42,PKR,Aliquam erat volutpat.
001,026cd974-1ebe-42d1-8f02-ffe1e6f82cd3,suspendisse,4,APL,54,30,62,195.32,29.7,PEN,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
001,85eed4c8-b3ba-4d1f-8a18-ba22762c40da,in,7,DY,82,71,44,656.71,11.33,EUR,Praesent lectus.
001,c0a21ea7-58fb-4007-a91a-4d4d66248ed2,mi,3,API,39,26,24,882.9,13.17,ARS,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
001,9ce8ea31-1061-4ba3-ad9b-d7fa98c42e98,mattis,4,ADV,3,89,97,930.95,20.87,RUB,Proin at turpis a pede posuere nonummy.
001,77cd4b84-75c8-43f8-b40f-cba6230eaaf6,gravida,7,APL,16,40,75,634.07,31.08,CNY,Ut tellus.
001,369d5b33-1c56-475b-b7ee-ab281a460bb3,dapibus,7,API,58,84,11,255.69,7.14,CNY,Fusce posuere felis sed lacus.
001,79b7c24b-753d-4cb9-b477-7a2e6730f0e4,mauris,5,AUS,24,86,2,245.05,11.87,NPR,Morbi ut odio.
001,c242adee-0722-45a6-8d45-a3299c49a722,penatibus,5,AUS,6,77,92,579.0,19.09,USD,Etiam vel augue.
001,700e7eb5-7c42-469c-8640-c1af17b31d1c,mattis,1,APL,66,29,27,54.24,39.59,MAD,Nulla facilisi.
001,85017a49-5d67-48ea-852d-1bc9031fee1e,in,7,%NT,100,47,68,732.68,12.29,PHP,Nullam porttitor lacus at turpis.
001,679e2f9e-a799-4100-bb70-8c9ba8c70c85,ac,7,%,27,87,63,595.1,22.31,CNY,Aliquam sit amet diam in magna bibendum imperdiet.
001,ab2e73ad-15a6-4ca8-b558-1badc8a20d07,ipsum,1,%,89,34,94,866.49,7.23,GEL,Integer tincidunt ante vel ipsum.
001,8d001341-eb77-46f9-bdb9-98a7e8bdbdf0,sed,5,ADV,58,33,85,256.3,10.3,CAD,Etiam faucibus cursus urna.
001,5ab863ff-9e90-4a2d-8a79-dcdac05d953b,ultrices,6,%,37,45,5,279.37,5.0,TZS,Morbi a ipsum.
001,eb04e642-45e5-4bd5-9ebb-d051accd9d81,habitasse,2,DY,60,8,42,667.96,38.29,CNY,Morbi ut odio.
001,c5c47335-9609-4474-8cb5-198db4fe311c,morbi,2,DY,73,30,90,567.97,31.1,GHS,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
001,00074152-078f-482c-a34c-9222a83ed5ac,nulla,4,%,1,22,61,547.32,11.6,PEN,Maecenas tincidunt lacus at velit.
001,92f1bed1-2e8b-4ba3-807c-660aca6a4a80,a,2,AUS,52,1,76,436.47,33.9,YER,Suspendisse accumsan tortor quis turpis.
001,8484f92e-17d1-4403-83e8-9e0a7bba0e04,tortor,4,APL,67,23,13,554.16,12.78,MYR,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
001,cecf16ac-e171-44f3-8794-12865cc01c67,eleifend,4,%,10,86,37,440.07,12.63,HNL,Vivamus tortor.
001,e271943b-d202-405d-9278-f517368a091c,posuere,7,API,32,99,33,15.94,13.04,NGN,Curabitur gravida nisi at nibh.
001,1452c675-58a2-404d-a8ff-2a002d11d0dc,lorem,7,AUS,57,44,51,768.37,8.53,THB,Etiam vel augue.
001,b2a64364-453d-409e-81b9-a9726802e743,platea,2,API,71,26,37,55.61,22.38,EUR,Morbi ut odio.
001,cead968d-887c-46cc-a7f0-7fcc15f53730,leo,5,APL,12,15,10,3.41,33.57,ARS,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
001,abc39f71-194c-4d26-8e8d-f44856068d99,ante,6,ADV,52,11,70,660.67,22.96,IDR,Cras non velit nec nisi vulputate nonummy.
001,0eff1bc5-7b5c-422f-946d-322c1cad40aa,ante,5,ADV,58,28,43,244.89,16.87,HNL,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
001,ff438a0d-0959-4cb8-a85b-bef556a86399,magna,4,DY,11,1,62,842.77,17.23,CNY,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
001,cfa1de5e-a830-4fc7-8d20-cf3f93f569aa,vivamus,3,AUS,44,14,80,373.5,30.67,PLN,Duis consequat dui nec nisi volutpat eleifend.
001,cbbd0e7d-f321-4322-9882-d433be62d323,diam,4,%,72,100,15,798.77,16.21,LYD,Suspendisse accumsan tortor quis turpis.
001,a670f0b1-6191-4a9f-a5f4-9ec166bc11c2,ipsum,4,APL,42,60,32,106.43,27.01,EUR,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
001,d80db47e-5409-44fa-aa7b-7b3984bace20,nunc,6,%,65,89,12,125.39,16.05,CRC,Nulla tempus.
001,b8538ff3-5f55-4ace-9164-4cbff0506dfb,eu,5,DY,51,27,22,698.01,36.91,CNY,Sed accumsan felis.
001,5a665684-8bd9-432a-87a3-a69fa58bd80b,id,1,%,68,25,77,399.63,22.95,CZK,Donec semper sapien a libero.
001,106a9d6c-fe8e-43c7-9bcd-fd114879180f,magna,6,AUS,99,100,94,244.53,10.97,CNY,Phasellus id sapien in sapien iaculis congue.
001,513c5d63-0a87-426b-8474-4b49184b647b,est,2,API,44,26,70,314.82,6.02,CNY,Praesent lectus.
001,e2d53cd3-0275-4fc6-ae4a-eded3c632336,in,5,%NT,17,62,76,926.56,21.21,THB,Quisque porta volutpat erat.
001,d1ba5f63-d1ef-44cb-8cef-92b3b1e72f81,curae,1,APL,88,65,5,610.31,26.95,UAH,Etiam justo.
001,2f020a3e-2522-4787-9f12-a2a1dddd4de6,donec,3,DY,24,86,82,535.52,3.43,BRL,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
001,5e2c36b0-3bcd-4cba-bdf7-4c556928cf42,nulla,4,%,26,84,21,166.14,21.58,PHP,Etiam justo.
001,6435e07f-f22e-4825-8508-2ec07d78968e,praesent,2,%NT,74,45,8,802.75,18.85,DOP,Nulla ut erat id mauris vulputate elementum.
001,60113464-7843-4a40-8a05-83b746dc90b8,ultricies,4,ADV,53,15,30,650.06,17.88,CAD,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
001,ba64c0d7-1551-4953-930e-ebca836b9a61,porta,3,ADV,95,92,74,700.32,36.41,CLP,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
001,f028234d-2b7b-4ca2-8bf9-dc7ad5777dda,sit,3,APL,97,70,41,881.07,37.03,PHP,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
001,1056467f-7c1f-4022-ad33-1e453800a74f,etiam,1,AUS,5,91,3,79.52,8.29,DKK,Nulla tempus.
001,9d9619f4-9f87-49fc-9d46-c2df4335553e,felis,2,%,75,38,33,581.74,25.77,EUR,Pellentesque at nulla.
001,6f997def-72dc-4d43-ae81-b4e12ee8b2b0,nunc,6,ADV,89,95,46,362.33,12.85,IDR,Nunc rhoncus dui vel sem.
001,b3f23fed-1de5-42e8-8f6a-e02a24fbba99,sapien,6,%,3,51,28,905.43,11.47,CNY,In hac habitasse platea dictumst.
001,e31188b1-bb51-42cd-91a2-ce772d031e32,justo,3,%NT,60,26,53,987.81,27.78,CNY,Quisque id justo sit amet sapien dignissim vestibulum.
001,9ac956f8-7a88-412d-98b9-107712681017,vestibulum,7,%NT,19,7,90,266.67,36.04,PLN,Curabitur in libero ut massa volutpat convallis.
001,984a8889-fcaf-4ee5-be00-e4b37c2059ac,in,5,API,4,42,95,546.94,3.23,CNY,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
