msehi;dimid;isocode
%;AAAADL;P1
%NT;AAAADL;%NT
DY;TIME;TG
1GB;AAAADL;1GB
2UR;AAAADL;2UR
A;ECURR;
ZZ;AAAADL;ACT
ADV;AAAADL;ADV
API;AAAADL;API
APL;AAAADL;APL
APP;AAAADL;APP
39;AAAADL;APS
AUS;AAAADL;AUS
BA2;PRESS;
BAR;AAAADL;B4
43;VOLUME;
44;VOLUME;
45;VOLUME;
BE;AAAADL;BE
BG;AAAADL;BG
BJ;AAAADL;BJ
BK;AAAADL;BK
P;AAAADL;ST
BLL;AAAADL;BLL
BX;AAAADL;BX
46;VOLUME;
47;VOLUME;
CAS;AAAADL;CA
CAU;AAAADL;CAU
CC;AAAADL;CC
CD;LIGHT;
CDM;VOLUME;DMQ
CI;AAAADL;CI
CM;LENGTH;CMT
CO;AAAADL;CN
CNT;AAAADL;CT
21;AAAADL;CO
COM;AAAADL;COM
CON;AAAADL;CON
2;AAAADL;
CPS;AAAADL;CPS
CR;AAAADL;CR
CS;AAAADL;CS
CST;AAAADL;CST
CTS;AAAADL;CTS
CTT;AAAADL;CTT
5;AAAADL;
11;AAAADL;DCT
DVS;AAAADL;DEV
DM;LENGTH;DMT
22;SURFAC;DMK
DCT;AAAADL;DOC
DR;AAAADL;DR
23;AAAADL;DVS
DZ;AAAADL;DZN
E4;MASS;E4
E48;AAAADL;E48
E51;AAAADL;E51
18;AAAADL;ST2
EKW;ENERGY;
EPS;AAAADL;EMP
19;AAAADL;910
ENV;AAAADL;ENV
26;AAAADL;EPS
40;AAAADL;ER
ESC;AAAADL;ESC
37;AAAADL;ETS
4;CURREN;
ETS;AAAADL;EVT
FEE;AAAADL;FEE
FF;AAAADL;FF
FFA;AAAADL;FFA
FFD;AAAADL;FFD
FFE;AAAADL;FFE
FFG;AAAADL;FFG
BOT;AAAADL;BO
FLF;AAAADL;
FT;LENGTH;FOT
FRM;AAAADL;FRM
FTE;AAAADL;FTE
FUE;AAAADL;FUE
G;MASS;GRM
GB;AAAADL;GB
GBA;AAAADL;GBA
GBM;AAAADL;GBM
GJ;ENERGY;GV
GLI;VOLUME;GLI
GAL;VOLUME;GLL
GWh;ENERGY;
GWP;AAAADL;GWP
7;AAAADL;
H;TIME;H
H87;AAAADL;H87
HC;AAAADL;HC
HIT;AAAADL;ZI1
HL;VOLUME;HLT
9;AAAADL;
HRR;AAAADL;903
HSV;AAAADL;HSV
HDA;TIME;HTA
HU;AAAADL;HU
HUR;TIME;HUR
HZ;FREQU;
INS;AAAADL;904
ITM;AAAADL;ITM
J;ENERGY;JOU
YR;TIME;ANN
JOB;AAAADL;JOB
8;CURREN;
K;TEMP;
K8S;AAAADL;K8S
CAN;AAAADL;KAN
BOX;AAAADL;KAR
6;AAAADL;D66
KEI;ENERGY;
KEN;AAAADL;KEN
KG;MASS;KGM
KGS;MASFLO;
KGM;DENSI;
KI;AAAADL;KI
KJ;ENERGY;
KM;LENGTH;KMT
KON;AAAADL;KON
KT;AAAADL;KT
KTO;MASS;
KVA;POWER;
KW;POWER;
KWH;ENERGY;KWH
KWR;AAAADL;KWR
L;VOLUME;LTR
29;MASS;LBR
ACT;AAAADL;ZZ
LHK;SURFAC;
LIN;AAAADL;
20;SURFAC;
LOG;AAAADL;LOG
LRN;AAAADL;LRN
LVU;TIME;LVU
M;LENGTH;MTR
M/S;SPEED;
M2;SURFAC;MTK
M2S;VISKIN;
M3;VOLUME;MTQ
M36;TIME;M36
M33;VOLFLO;
M4;AAAADL;M4
30;POWER;MAW
3;AAAADL;MB
MBP;AAAADL;MBP
48;ENERGY;
31;MASS;MC
mE;CURREN;
32;MASS;MGM
MI;TIME;MI
MIL;LENGTH;SMI
MIN;TIME;MIN
33;VOLUME;MLT
MLU;AAAADL;
MM;LENGTH;MMT
MOL;MOLQU;
MO;TIME;MON
MS2;ACCEL;
MSR;AAAADL;MSR
PD;TIME;908
MWH;ENERGY;MWH
N;FORCE;
OHM;RESIST;
35;MASS;ONZ
36;AAAADL;PA
PA;PRESS;
PAA;AAAADL;PAA
PCK;AAAADL;PK
PAL;AAAADL;PF
PAS;VISDYN;
PCE;AAAADL;PCE
PAD;AAAADL;PD
PER;AAAADL;C62
PLC;AAAADL;PLC
POS;AAAADL;POS
PPS;AAAADL;PPS
PPV;AAAADL;PPV
PR;AAAADL;PR
PRD;AAAADL;PRD
PRS;AAAADL;PRS
PV;AAAADL;PV
PVS;AAAADL;PVS
QTR;TIME;QTR
41;AAAADL;QTY
RAT;AAAADL;909
RD;AAAADL;RD
12;AAAADL;
RE;AAAADL;RE
REC;AAAADL;REC
RS;AAAADL;RES
RV;AAAADL;REV
RM;AAAADL;RM
RMO;AAAADL;RMO
ROL;AAAADL;RO
S;TIME;SEC
SA;AAAADL;SA
SAN;TIME;SAN
13;AAAADL;
SBS;AAAADL;SBS
SE;AAAADL;905
SET;AAAADL;SET
SFT;SURFAC;FTK
15;AAAADL;
38;AAAADL;SO
SPN;AAAADL;SPD
SPV;AAAADL;SPV
42;AAAADL;SRC
PC;AAAADL;PCE
EA;AAAADL;EA
EA.;AAAADL;
PC.;AAAADL;C62
STA;AAAADL;
STC;AAAADL;STC
HR;TIME;HUR
STE;AAAADL;900
10;SURFAC;STK
STO;AAAADL;STO
STV;AAAADL;STV
SPL;AAAADL;SUP
T;TIME;T
TA;TIME;TA
DAY;TIME;DAY
TB;AAAADL;TB
TCO;MASS;
TEU;CURREN;
TJ;ENERGY;
TKT;AAAADL;TKT
16;AAAADL;TM
TNL;AAAADL;TNL
TO;MASS;TNE
TRI;AAAADL;
TRM;AAAADL;TRM
TU;AAAADL;TU
TWA;MASS;
TXN;AAAADL;TXN
